,ED5,ED50,ED95,GroupingProperty,Site,Species
1,33.58,36.55,39.78,MarHE_Dip_1,MarHE,Dip
2,35.46,37.12,38.86,MarHE_Dip_2,MarHE,Dip
3,35.5,37.81,40.28,MarHE_Dip_3,MarHE,Dip
4,34.93,37.69,40.66,MarHE_Dip_4,MarHE,Dip
5,35.64,37.24,38.9,MarHE_Dip_5,MarHE,Dip
6,33.27,36.64,40.35,MarHE_Dip_6,MarHE,Dip
7,34,36.98,40.21,MarHE_Dip_7,MarHE,Dip
8,35.87,36.67,37.5,MarHE_Poc_1,MarHE,Poc
9,35.67,36.7,37.76,MarHE_Poc_2,MarHE,Poc
10,33.46,35.54,37.75,MarHE_Poc_3,MarHE,Poc
11,36.23,37.26,38.32,MarHE_Poc_4,MarHE,Poc
12,33.18,35.95,38.95,MarHE_Poc_5,MarHE,Poc
13,35.55,36.7,37.89,MarHE_Poc_6,MarHE,Poc
14,34.05,35.75,37.53,MarHE_Poc_7,MarHE,Poc
15,36.37,38.18,40.08,MarHE_Poc_8,MarHE,Poc
16,36.49,36.85,37.22,MarHE_Poc_9,MarHE,Poc
17,36.3,36.98,37.68,MarHE_Poc_10,MarHE,Poc
18,35.95,37.71,39.55,MarHE_Por_1,MarHE,Por
19,36.11,37.57,39.09,MarHE_Por_2,MarHE,Por
20,36.21,37.52,38.88,MarHE_Por_3,MarHE,Por
21,36.29,37.55,38.87,MarHE_Por_4,MarHE,Por
22,34.9,36.77,38.75,MarHE_Por_5,MarHE,Por
23,36.02,37.86,39.79,MarHE_Por_6,MarHE,Por
24,36.59,37.83,39.11,MarHE_Por_7,MarHE,Por
25,36.45,37.33,38.23,MarHE_Por_8,MarHE,Por
26,36.45,37.4,38.38,MarHE_Por_9,MarHE,Por
27,36.87,38.14,39.46,MarHE_Por_10,MarHE,Por